stat_id,period_start,period_end,period_type,ico_sector,sector_relevance,complaint_count,data_breach_count,complaint_resolved,pct_resolved,yoy_change_pct,qoq_change_pct,avg_3period,pct_above_avg,spike_flag,source_doc,source_url,ingested_at,manually_reviewed
I1-001,01/04/2022,31/03/2023,Annual,Central Government,Partial,1728,94,,10.6,,,,,FALSE,ICO Annual Report 2022-23; ICO complaints & breach CSVs (proactive disclosure),https://ico.org.uk/media2/migrated/4025864/annual-report-2022-23.pdf,17/04/2026,FALSE
I1-002,01/04/2022,31/03/2023,Annual,Charitable and voluntary,None,653,470,,10.6,,,,,FALSE,ICO Annual Report 2022-23; ICO complaints & breach CSVs (proactive disclosure),https://ico.org.uk/media2/migrated/4025864/annual-report-2022-23.pdf,17/04/2026,FALSE
I1-003,01/04/2022,31/03/2023,Annual,Education and childcare,Partial,1843,1440,,10.6,,,,,FALSE,ICO Annual Report 2022-23; ICO complaints & breach CSVs (proactive disclosure),https://ico.org.uk/media2/migrated/4025864/annual-report-2022-23.pdf,17/04/2026,FALSE
I1-004,01/04/2022,31/03/2023,Annual,"Finance, insurance and credit",Partial,4210,657,,10.6,,,,,FALSE,ICO Annual Report 2022-23; ICO complaints & breach CSVs (proactive disclosure),https://ico.org.uk/media2/migrated/4025864/annual-report-2022-23.pdf,17/04/2026,FALSE
I1-005,01/04/2022,31/03/2023,Annual,General business,Full,3991,219,,10.6,,,,,FALSE,ICO Annual Report 2022-23; ICO complaints & breach CSVs (proactive disclosure),https://ico.org.uk/media2/migrated/4025864/annual-report-2022-23.pdf,17/04/2026,FALSE
I1-006,01/04/2022,31/03/2023,Annual,Health,Partial,3613,2223,,10.6,,,,,FALSE,ICO Annual Report 2022-23; ICO complaints & breach CSVs (proactive disclosure),https://ico.org.uk/media2/migrated/4025864/annual-report-2022-23.pdf,17/04/2026,FALSE
I1-007,01/04/2022,31/03/2023,Annual,Justice,Partial,1710,125,,10.6,,,,,FALSE,ICO Annual Report 2022-23; ICO complaints & breach CSVs (proactive disclosure),https://ico.org.uk/media2/migrated/4025864/annual-report-2022-23.pdf,17/04/2026,FALSE
I1-008,01/04/2022,31/03/2023,Annual,Land or property services,None,1702,282,,10.6,,,,,FALSE,ICO Annual Report 2022-23; ICO complaints & breach CSVs (proactive disclosure),https://ico.org.uk/media2/migrated/4025864/annual-report-2022-23.pdf,17/04/2026,FALSE
I1-009,01/04/2022,31/03/2023,Annual,Legal,None,1109,313,,10.6,,,,,FALSE,ICO Annual Report 2022-23; ICO complaints & breach CSVs (proactive disclosure),https://ico.org.uk/media2/migrated/4025864/annual-report-2022-23.pdf,17/04/2026,FALSE
I1-010,01/04/2022,31/03/2023,Annual,Local government,Partial,2745,1878,,10.6,,,,,FALSE,ICO Annual Report 2022-23; ICO complaints & breach CSVs (proactive disclosure),https://ico.org.uk/media2/migrated/4025864/annual-report-2022-23.pdf,17/04/2026,FALSE
I1-011,01/04/2022,31/03/2023,Annual,Marketing,Partial,226,,,10.6,,,,,FALSE,ICO Annual Report 2022-23; ICO complaints & breach CSVs (proactive disclosure),https://ico.org.uk/media2/migrated/4025864/annual-report-2022-23.pdf,17/04/2026,FALSE
I1-012,01/04/2022,31/03/2023,Annual,Media,None,197,31,,10.6,,,,,FALSE,ICO Annual Report 2022-23; ICO complaints & breach CSVs (proactive disclosure),https://ico.org.uk/media2/migrated/4025864/annual-report-2022-23.pdf,17/04/2026,FALSE
I1-013,01/04/2022,31/03/2023,Annual,Membership association,None,367,63,,10.6,,,,,FALSE,ICO Annual Report 2022-23; ICO complaints & breach CSVs (proactive disclosure),https://ico.org.uk/media2/migrated/4025864/annual-report-2022-23.pdf,17/04/2026,FALSE
I1-014,01/04/2022,31/03/2023,Annual,Online Technology and Telecoms,Full,3713,344,,10.6,,,,,FALSE,ICO Annual Report 2022-23; ICO complaints & breach CSVs (proactive disclosure),https://ico.org.uk/media2/migrated/4025864/annual-report-2022-23.pdf,17/04/2026,FALSE
I1-015,01/04/2022,31/03/2023,Annual,Political,Partial,82,,,10.6,,,,,FALSE,ICO Annual Report 2022-23; ICO complaints & breach CSVs (proactive disclosure),https://ico.org.uk/media2/migrated/4025864/annual-report-2022-23.pdf,17/04/2026,FALSE
